"","GEOID","medianhhincome_2019","aian_2019","asian_2019","hhlivingalone_2019","black_2019","blackmedianincome_2019","blackpoverty_2019","familyhouseholds_2019","fouryeardegree_2019","graddegree_2019","hsgrad_2019","latino_2019","latinopoverty_2019","lessthanhs_2019","medianage_2019","grossrent_2019","medianyearbuilt_2019","monthlyhousingcost_2019","multipleraces_2019","nonfamilyhouseholds_2019","numberofhousingunits_2019","over25population_2019","poverty_2019","totalpopulation_2019","vacantunits_2019","white_2019","white25andolder_2019","whitemedianincome_2019","whitepoverty_2019","renters_2019","occupiedunits_2019","vacancyrate_2019","pctwhite_2019","pctblack_2019","pctlatino_2019","pctwhitepoverty_2019","pctblackpoverty_2019","pctlatinopoverty_2019","pctpoverty_2019","pctlessthanhs_2019","pcthsgrad_2019","pctfouryeardegree_2019","pctgraddegree_2019","pctrenters_2019"
"91",39049006372,65093,0,775,832,1028,43963,518,1796,1582,927,910,558,558,263,33.7,1119,1987,1173,31,1020,3034,4819,880,6803,218,4538,3378,65949,263,2014,6735,7.18523401450231,66.7058650595326,15.1109804498016,8.202263707188,5.79550462758925,50.3891050583658,100,12.9354696457445,5.45756380991907,18.8835858061839,32.8283876322889,19.2363560904752,29.9034892353378
"92",39049006383,90303,0,1221,903,531,105905,41,2634,2472,1406,774,519,519,389,35.1,1180,1987,1354,57,1224,4083,6630,718,9556,225,7369,5252,86067,518,1526,9556,5.51065393093314,77.113855169527,5.55671829217246,5.43114273754709,7.02944768625322,7.72128060263653,100,7.51360401841775,5.86726998491704,11.6742081447964,37.2850678733032,21.2066365007541,15.9690246965257
"93",39049006384,93801,0,436,660,432,86354,0,1620,1405,717,599,282,282,96,36,1049,1985,1150,0,867,2735,4291,139,6236,248,4937,3445,93294,122,1257,6236,9.06764168190128,79.169339320077,6.92751763951251,4.52212957023733,2.47113631760178,0,100,2.228992944195,2.23724073642508,13.9594500116523,32.7429503612212,16.7093917501748,20.157152020526
"94",39049006386,77059,0,884,834,306,NA,27,1075,1047,766,497,85,85,161,38.5,1328,1992,1356,0,1023,2329,3403,208,4359,231,3077,2504,71477,126,1243,4359,9.91841992271361,70.5895847671484,7.01995870612526,1.94998852947924,4.09489762755931,8.82352941176471,100,4.77173663684331,4.73111960035263,14.6047605054364,30.7669703203056,22.5095503967088,28.5157146134434
"95",39049006387,81228,0,343,861,501,NA,332,1581,1693,992,792,569,569,185,33.8,1195,1985,1241,0,1057,2803,4630,565,6240,165,5091,3991,80947,178,1244,6240,5.88655012486621,81.5865384615385,8.02884615384616,9.11858974358974,3.49636613631899,66.2674650698603,100,9.05448717948718,3.99568034557235,17.1058315334773,36.5658747300216,21.4254859611231,19.9358974358974
"96",39049006391,151066,0,355,283,58,NA,12,1555,1634,1276,235,69,69,43,40,1203,1977,2080,29,290,1927,3696,122,5456,82,4948,3337,153125,32,55,5456,4.25531914893617,90.6891495601173,1.06304985337243,1.26466275659824,0.646725949878739,20.6896551724138,100,2.23607038123167,1.16341991341991,6.35822510822511,44.2099567099567,34.5238095238095,1.00806451612903
"97",39049006392,144474,0,235,236,77,160750,0,1441,1256,1163,232,0,0,41,45.8,1394,1979,1862,0,269,1710,3255,52,4579,0,4224,2988,141771,52,142,4579,0,92.2472155492466,1.68158986678314,0,1.23106060606061,0,NA,1.13561913081459,1.25960061443932,7.12749615975422,38.5867895545315,35.7296466973886,3.10111378030138
"98",39049006393,105994,0,830,379,361,107125,0,1468,1444,943,459,117,117,52,36.3,1149,1984,1464,0,481,2048,3828,82,5562,99,4132,2977,106801,50,355,5562,4.833984375,74.2898238043869,6.49047105357785,2.10355987055016,1.21006776379477,0,100,1.47428982380439,1.35841170323929,11.9905956112853,37.7220480668757,24.6342737722048,6.38259618842143
"99",39049006394,85739,0,177,252,66,NA,0,755,641,227,240,30,30,71,34.6,1257,1985,1310,27,286,1065,1875,52,2782,24,2431,1609,86458,52,136,2782,2.25352112676056,87.3831775700935,2.37239396117901,1.078360891445,2.13903743315508,0,100,1.86915887850467,3.78666666666667,12.8,34.1866666666667,12.1066666666667,4.88856937455068
"100",39049006395,63194,0,389,837,312,95594,46,655,959,475,463,92,92,91,31.9,1150,1992,1158,0,1068,1970,2592,358,3552,247,2639,2063,60846,289,761,3552,12.5380710659898,74.2961711711712,8.78378378378378,2.59009009009009,10.9511178476696,14.7435897435897,100,10.0788288288288,3.5108024691358,17.8626543209877,36.9984567901235,18.3256172839506,21.4245495495495
